,name,nationality,position,club,age,tackles_attemped,tackles_won,def_3rd_tackles,mid_3rd_tackles,off_3rd_tackles,dribbler_tackles_won,dribbler_tackles_attempted,dribber_tackles_success_rate,dribber_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors_leading_to_shots,tackles_attemped_per_90,tackles_won_per_90,def_3rd_tackles_per_90,mid_3rd_tackles_per_90,off_3rd_tackles_per_90,dribbler_tackles_won_per_90,dribbler_tackles_attempted_per_90,dribber_tackles_lost_per_90,blocks_per_90,shots_blocked_per_90,passes_blocked_per_90,interceptions_per_90,tackles_and_interceptions_per_90,clearances_per_90,errors_leading_to_shots_per_90
317,Javi López,ESP,DF,Real Sociedad,22.0,40,23,23,12,5,23,37,62.2,14,21,7,14,11,51,59,2,1.86,1.07,1.07,0.56,0.23,1.07,1.72,0.65,0.98,0.33,0.65,0.51,2.37,2.74,0.09
318,Pau López,ESP,GK,Girona,29.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
319,Roberto López,ESP,MF,Leganés,24.0,8,6,4,4,0,5,15,33.3,10,5,0,5,1,9,7,2,1.82,1.36,0.91,0.91,0.0,1.14,3.41,2.27,1.14,0.0,1.14,0.23,2.05,1.59,0.45
320,Unai López,ESP,MF,Rayo Vallecano,28.0,31,21,14,12,5,17,36,47.2,19,18,6,12,21,52,20,0,1.63,1.11,0.74,0.63,0.26,0.89,1.89,1.0,0.95,0.32,0.63,1.11,2.74,1.05,0.0
321,Iker Losada,ESP,"FW,MF",Celta Vigo,22.0,3,3,0,1,2,1,5,20.0,4,4,1,3,1,4,8,0,0.75,0.75,0.0,0.25,0.5,0.25,1.25,1.0,1.0,0.25,0.75,0.25,1.0,2.0,0.0
322,Iker Losada,ESP,"MF,FW",Betis,22.0,10,7,2,4,4,5,10,50.0,5,2,0,2,3,13,2,0,2.7,1.89,0.54,1.08,1.08,1.35,2.7,1.35,0.54,0.0,0.54,0.81,3.51,0.54,0.0
323,Pol Lozano,ESP,MF,Espanyol,24.0,53,34,23,25,5,25,58,43.1,33,32,6,26,22,75,31,0,2.45,1.57,1.06,1.16,0.23,1.16,2.69,1.53,1.48,0.28,1.2,1.02,3.47,1.44,0.0
324,José Luis Gayà,ESP,DF,Valencia,29.0,57,40,39,15,3,40,58,69.0,18,16,2,14,25,82,61,0,2.85,2.0,1.95,0.75,0.15,2.0,2.9,0.9,0.8,0.1,0.7,1.25,4.1,3.05,0.0
325,Dodi Lukebakio,BEL,FW,Sevilla,26.0,22,14,8,8,6,15,27,55.6,12,18,1,17,11,33,17,2,0.64,0.41,0.23,0.23,0.17,0.44,0.78,0.35,0.52,0.03,0.49,0.32,0.96,0.49,0.06
326,Daniel Luna,COL,MF,Mallorca,21.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
327,Andriy Lunin,UKR,GK,Real Madrid,25.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.43,0.0
328,Darwin Machís,VEN,"MF,FW",Valladolid,31.0,5,4,3,2,0,3,9,33.3,6,3,0,3,5,10,13,0,0.7,0.56,0.42,0.28,0.0,0.42,1.27,0.85,0.42,0.0,0.42,0.7,1.41,1.83,0.0
329,Pablo Maffeo,ESP,DF,Mallorca,27.0,60,40,43,14,3,34,46,73.9,12,32,11,21,25,85,103,1,2.28,1.52,1.63,0.53,0.11,1.29,1.75,0.46,1.22,0.42,0.8,0.95,3.23,3.92,0.04
330,Jon Magunazelaia,ESP,MF,Real Sociedad,23.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
331,Giorgi Mamardashvili,GEO,GK,Valencia,23.0,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,16,3,0.06,0.06,0.06,0.0,0.0,0.06,0.09,0.03,0.0,0.0,0.0,0.03,0.09,0.47,0.09
332,Reinildo Mandava,MOZ,DF,Atlético Madrid,30.0,18,11,10,7,1,10,18,55.6,8,11,5,6,16,34,35,0,1.71,1.05,0.95,0.67,0.1,0.95,1.71,0.76,1.05,0.48,0.57,1.52,3.24,3.33,0.0
333,Javier Manquillo,ESP,DF,Celta Vigo,30.0,7,5,4,3,0,2,10,20.0,8,5,3,2,7,14,14,0,1.23,0.88,0.7,0.53,0.0,0.35,1.75,1.4,0.88,0.53,0.35,1.23,2.46,2.46,0.0
334,Marcão,BRA,DF,Sevilla,28.0,10,7,6,4,0,3,5,60.0,2,9,6,3,7,17,29,1,1.64,1.15,0.98,0.66,0.0,0.49,0.82,0.33,1.48,0.98,0.49,1.15,2.79,4.75,0.16
335,Óscar de Marcos,ESP,DF,Athletic Club,35.0,32,15,15,13,4,21,37,56.8,16,17,1,16,16,48,35,0,1.84,0.86,0.86,0.75,0.23,1.21,2.13,0.92,0.98,0.06,0.92,0.92,2.76,2.01,0.0
336,Alberto Marí,ESP,FW,Valencia,23.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,José María Giménez,URU,DF,Atlético Madrid,29.0,26,16,18,8,0,17,28,60.7,11,29,19,10,27,53,115,2,1.17,0.72,0.81,0.36,0.0,0.77,1.26,0.5,1.31,0.86,0.45,1.22,2.39,5.18,0.09
338,Arkaitz Mariezkurrena,ESP,"FW,MF",Real Sociedad,19.0,1,0,1,0,0,0,4,0.0,4,4,1,3,1,2,4,0,0.37,0.0,0.37,0.0,0.0,0.0,1.48,1.48,1.48,0.37,1.11,0.37,0.74,1.48,0.0
339,Pablo Marín,ESP,MF,Real Sociedad,21.0,25,17,6,13,6,10,19,52.6,9,12,3,9,5,30,14,0,1.81,1.23,0.43,0.94,0.43,0.72,1.38,0.65,0.87,0.22,0.65,0.36,2.17,1.01,0.0
340,Mika Mármol,ESP,DF,Las Palmas,23.0,61,29,35,24,2,34,52,65.4,18,46,14,32,38,99,121,2,2.28,1.09,1.31,0.9,0.07,1.27,1.95,0.67,1.72,0.52,1.2,1.42,3.71,4.53,0.07
341,Mario Maroto,ESP,MF,Valladolid,20.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,0.0,0.0,0.0,2.86,2.86,2.86,0.0
342,Unai Marrero,ESP,GK,Real Sociedad,22.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
343,Carlos Martín,ESP,"FW,MF",Alavés,22.0,43,21,18,16,9,13,49,26.5,36,30,1,29,5,48,20,0,2.91,1.42,1.22,1.08,0.61,0.88,3.31,2.43,2.03,0.07,1.96,0.34,3.24,1.35,0.0
344,Diego Martín,ESP,FW,Las Palmas,20.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,2.5,2.5,0.0,0.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0
