Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,36.7,0.89,7.15,15.6,14.6,3.86,36.7,0.82,0.38,46.2,0.44,53.8,17.8,89.4,37.2,1.08,0.95,0.13,0.82,0.95,24.5,5.38,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,70,20,60,10,0,0,70,0,0,,0,,60,120,10,0,0,0,0,0,50,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,43.8,8.75,17.5,16.3,11.3,0,43.8,3.75,2.5,66.7,1.25,33.3,20,88.8,43.8,1.25,0,0,2.5,0,20,1.25,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,60,3.91,19.1,29.7,11.4,1.72,60,1.25,0.94,75,0.31,25,33.1,113.9,53.8,0.47,0.63,0,0.94,0.16,37.8,3.44,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,68.2,1.16,8.66,33,27.2,3.99,68.1,2.72,1.49,54.7,1.01,37.3,44.5,219.3,102.1,2.68,2.21,0.51,1.96,1.56,55.9,5.18,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,63.6,2.16,14.3,40.4,9.14,0.52,63.6,0.71,0.37,52.6,0.3,42.1,35.3,169.2,79.4,1.04,1.08,0.07,0.86,0.82,44.9,1.08,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,54.1,3.33,15.4,30.9,8.7,0.37,54.1,1.11,0.74,66.7,0.19,16.7,27.2,115.7,52.4,0.74,0.37,0.19,0.93,0,29.8,0.93,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,45,2.5,10,27.5,10,0,45,2.5,0,0,2.5,100,20,150,62.5,5,2.5,0,2.5,0,32.5,10,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,71.9,3.26,20,38.9,13.4,0.7,71.9,0.7,0.26,37.5,0.35,50,34.1,166.3,95.1,1.89,1.28,0.13,0.79,0.09,40.8,2.91,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,48.1,0.69,3.77,17.8,27.4,3.31,48,3.15,1.27,40.2,1.58,50,24.7,165.8,78.8,2.5,1.54,1.04,2,1.92,31.1,8.31,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,68.1,1.48,17.4,43,7.78,0.37,68.1,1.11,0.74,66.7,0.37,33.3,35.9,170.7,55.6,0,0.74,0,0.74,0.74,50.7,0.74,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,66.7,4.17,17.5,26.3,23.3,5.42,66.7,3.33,1.25,37.5,2.08,62.5,34.6,144.6,70,1.67,1.25,0.42,1.25,0.83,41.7,9.58,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,37.3,1.54,7.95,16.9,13.2,1.92,37.3,2.95,1.54,52.2,1.41,47.8,19,81.5,24.4,0.26,0.77,0.26,2.18,1.92,20.3,4.62,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,42.2,4.32,20.8,20.2,1.36,0.68,42.2,0,0,,0,,16.6,70.6,33.1,0.08,0.08,0,0.25,0,17,0.08,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,50.9,2.08,11.7,32.7,7.13,0.2,50.9,0.69,0.5,71.4,0.2,28.6,25.1,104.8,46.4,0.43,0.56,0,0.96,0.86,29.3,0.63,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,92.6,5.57,29.4,51.8,11.8,0.68,92.6,0.91,0.49,53.6,0.36,39.3,60.3,326.4,179.6,2.3,2.17,0.1,0.52,0.39,69.6,1.97,Matches
