Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
480,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,1.4,58,45,55,3,0,0,58,0,0,,0,,19,135,61,0,0,0,0,0,4,0,Matches
481,Álvaro Rodríguez,uy URU,FW,Getafe,20,2004,9.5,415,15,27,194,204,55,415,33,16,48.5,15,45.5,186,735,221,6,13,2,37,20,300,50,Matches
482,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,26,1998,14.8,749,19,113,395,251,21,749,52,21,40.4,26,50,381,2191,968,24,24,8,34,14,491,66,Matches
483,Arturo Rodríguez,es ESP,FW,Las Palmas,17,2006,0.2,11,0,0,3,8,2,11,1,0,0,1,100,7,37,11,1,0,1,0,0,8,2,Matches
484,Damián Rodríguez,es ESP,MF,Celta Vigo,21,2003,10.3,876,15,127,589,162,4,876,2,0,0,2,100,529,2383,1230,8,8,0,4,6,680,12,Matches
485,Dani Rodríguez,es ESP,"MF,FW",Mallorca,36,1988,24,971,27,126,463,395,54,971,34,16,47.1,14,41.2,512,2728,1116,37,38,5,50,46,611,108,Matches
486,Daniel Rodriguez,es ESP,FW,Barcelona,18,2005,0.4,25,0,0,2,23,3,25,1,0,0,0,0,20,154,110,4,0,2,3,0,23,9,Matches
487,James Rodríguez,co COL,"MF,FW",Rayo Vallecano,33,1991,1.6,116,1,16,51,50,4,116,7,5,71.4,2,28.6,71,244,105,3,4,1,5,0,85,7,Matches
488,Javi Rodríguez,es ESP,DF,Celta Vigo,21,2003,27.9,1994,121,709,1072,217,23,1994,22,10,45.5,9,40.9,1187,5254,2820,29,27,1,22,5,1411,51,Matches
489,Jesus Rodríguez,es ESP,FW,Betis,18,2005,12.3,532,5,47,212,284,69,532,84,30,35.7,46,54.8,361,2868,1506,53,36,39,38,20,381,99,Matches
490,Kirian Rodríguez,es ESP,MF,Las Palmas,28,1996,19.5,1357,47,294,872,199,15,1357,16,11,68.8,5,31.3,763,3545,1999,25,24,0,20,14,1027,39,Matches
491,Ricardo Rodríguez,ch SUI,DF,Betis,31,1992,14.2,866,39,253,437,181,7,866,7,4,57.1,3,42.9,434,2005,1105,19,23,1,4,3,498,32,Matches
492,Rodrygo,br BRA,"FW,MF",Real Madrid,23,2001,21.4,1340,14,97,464,802,127,1340,111,49,44.1,46,41.4,889,5906,3404,113,87,50,47,15,1068,253,Matches
493,Leo Román,es ESP,GK,Mallorca,24,2000,7,279,228,277,2,0,0,279,1,1,100,0,0,124,699,396,0,0,0,0,0,122,0,Matches
494,Carlos Romero,es ESP,DF,Espanyol,22,2001,28.4,1366,114,488,490,412,29,1366,52,22,42.3,23,44.2,593,3815,2099,50,35,12,33,13,656,113,Matches
495,Isaac Romero,es ESP,FW,Sevilla,24,2000,24,751,21,69,340,349,89,750,65,21,32.3,36,55.4,382,1633,576,21,10,14,79,61,520,95,Matches
496,Luka Romero,ar ARG,"FW,MF",Alavés,19,2004,2.2,69,0,5,28,37,5,68,3,1,33.3,1,33.3,42,256,69,3,1,1,5,7,45,12,Matches
497,Oriol Romeu,es ESP,MF,Girona,32,1991,15.1,1032,48,223,668,141,4,1032,8,4,50,3,37.5,600,3070,1666,22,16,1,13,13,782,8,Matches
498,Vitor Roque,br BRA,FW,Betis,19,2005,13.7,365,3,27,167,179,57,365,39,10,25.6,25,64.1,213,1250,554,24,14,16,41,35,239,57,Matches
499,Valentin Rosier,fr FRA,DF,Leganés,27,1996,28.8,1615,149,630,706,298,28,1615,45,23,51.1,19,42.2,746,3787,2057,41,31,7,31,21,802,89,Matches
500,Antonio Rüdiger,de GER,DF,Real Madrid,31,1993,25.5,2069,233,969,1016,94,23,2069,7,3,42.9,2,28.6,1373,6532,4120,20,26,2,7,2,1584,4,Matches
501,Aitor Ruibal,es ESP,"DF,FW",Betis,28,1996,14.6,790,45,231,321,248,33,790,27,14,51.9,13,48.1,398,1795,938,21,25,7,27,16,459,64,Matches
502,Abel Ruiz,es ESP,FW,Girona,24,2000,15,391,11,28,188,177,59,389,20,7,35,10,50,225,1274,413,21,12,10,32,18,281,71,Matches
503,Ferrán Ruiz,es ESP,MF,Girona,21,2003,0.2,9,0,3,6,1,0,9,0,0,,0,,5,15,1,0,0,0,1,0,4,0,Matches
504,Youssouf Sabaly,sn SEN,DF,Betis,31,1993,17.6,1170,43,351,591,236,26,1170,20,8,40,10,50,620,2245,1145,25,12,4,27,12,680,63,Matches
505,Umar Sadiq,ng NGA,FW,Valencia,27,1997,9.2,301,8,22,133,150,41,301,25,11,44,12,48,175,940,274,9,8,3,41,24,229,49,Matches
506,Umar Sadiq,ng NGA,FW,Real Sociedad,27,1997,2.5,85,1,12,30,46,16,85,9,5,55.6,4,44.4,49,278,94,5,2,3,14,6,66,18,Matches
