Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,0,0,0,0,4,0,0,0,2,0,0,0,2,2,0,100,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,0,0,0,2.19,1.56,0,7.5,0.63,2.81,0,0,0,5,0,0.63,0,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,0.86,0,0,2.57,1.14,0.29,10.6,0.86,1.14,0,0,0,2.86,1.43,2.29,38.5,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,0.25,0,0,1.03,1.85,0,0.12,1.15,1.23,0.04,0,0,4.81,1.52,0.99,60.7,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,0.43,0,0,2.36,0.93,0.43,3.86,0.79,1.36,0,0.07,0,6.29,0.5,1,33.3,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,0.15,0.04,0,1.08,1.04,0,1,1.31,1,0,0,0,5.06,1.35,0.81,62.5,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,0.16,0,0,1.82,1.98,0.78,0.19,0,0.31,0.04,0.04,0,1.4,3.84,1.86,67.3,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,0.09,0,0,0.64,0.6,0.09,0.04,1.42,0.82,0,0.04,0,3.78,2.15,1.8,54.3,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,0.19,0,0,0.03,0.19,0,0,0,0.06,0,0,0,1.53,0.28,0,100,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,0.5,0,0,4,0,0,0,0,1.5,0,0,0,2,1.5,1,60,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,0.09,0.09,0,0.72,1.35,0.81,5.77,0.09,0.18,0,0,0,2.7,0.63,1.44,30.4,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,0.32,0,0,1.39,0.51,0.19,0.7,0.63,1.14,0,0,0,3.04,0.63,0.57,52.6,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,100,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,2.5,0,0,3.75,3.75,0,1.25,2.5,1.25,0,0,0,7.5,1.25,1.25,50,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,0.16,0,0,0.94,0,0,1.56,0.94,1.09,0,0,0,2.03,0.94,1.09,46.2,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,0.18,0.04,0,1.2,2.32,0.33,0.65,1.01,1.2,0.04,0,0,3.51,1.09,1.12,49.2,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,0.11,0,0,1.26,0.45,0,0.19,0.97,1.3,0,0.04,0,4.42,0.71,1,41.3,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,0.56,0,0,3.33,1.11,0.19,0.19,1.48,2.59,0,0,0,5.93,1.48,1.3,53.3,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,2.5,2.5,0,5,2.5,0,0,0,0,7.5,0,2.5,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,0.22,0,0,0.79,0.84,0.18,1.85,1.19,0.93,0,0.04,0,5.33,1.23,0.88,58.3,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,0.19,0,0,1.12,1.15,0.19,6.85,0.38,0.62,0.08,0,0,4.35,1.04,1.92,35.1,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,0.74,0,0,1.48,1.11,0,0,0.37,2.22,0,0,0,3.33,0.37,2.22,14.3,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,0,0,0,0,0.83,0.42,3.75,0.42,2.92,0,0,0,5.42,2.08,0.83,71.4,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,0,0,0,1.41,0.77,0.13,1.67,0.26,1.67,0,0,0,3.33,1.41,1.67,45.8,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,0.68,0.08,0.08,1.44,0.08,0,0,1.27,0.59,0,0.08,0,2.97,2.54,1.44,63.8,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,0.36,0.03,0.03,2.18,0.89,0,0.96,1.39,1.32,0,0,0,5.41,0.92,1.16,44.4,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,0.06,0,0,0.61,0.52,0.03,1.36,1.04,0.87,0,0,0,3.75,0.55,0.78,41.5,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,0.25,0,0,1.07,0.66,0.08,2.54,0.98,0.9,0,0,0,3.69,1.31,0.74,64,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,0.15,0,0,1.3,0.24,0,0.06,1.33,1.3,0,0,0,3.64,0.87,1.05,45.3,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,0,0,0,1,0,0,0,0.33,0.67,0,0,0,3.67,1,1.67,37.5,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,0.22,0,0,2.11,0.72,0.22,0.61,0.89,0.61,0.06,0,0,3.39,1.11,2.11,34.5,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,0.43,0,0,2.61,4.35,1.09,3.48,0.22,1.09,0,0,0,5.65,0.65,0.65,50,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,0.12,0,0,1.43,1.07,0.46,0.18,0.06,0.27,0.18,0,0,1.65,4.15,4.02,50.7,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,0,0,0,1.25,1.88,0,0.63,0,1.88,0,0,0,3.75,0,0.63,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,0,0,0,2.22,3.89,0,3.33,1.67,2.22,0.56,0,0,3.33,0.56,1.11,33.3,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,0.48,0,0,2.38,2.38,0,5.71,0,0.95,0,0,0,5.24,0.48,1.43,25,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,0.13,0.03,0,0.75,0.25,0,0.53,0.94,0.72,0.03,0.03,0,2.6,2.41,1.32,64.7,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,0.13,0,0,0.76,1.01,0,0.25,2.03,1.27,0,0,0,3.29,1.52,2.15,41.4,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,0.16,0,0,1.72,2.54,0.08,0.16,1.48,2.13,0,0.08,0,7.38,1.64,1.48,52.6,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,0.16,0,0,0.87,0.79,0.16,0.48,0.32,0.24,0,0,0,2.54,0.87,2.06,29.7,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,0.38,0,0,0.53,1.52,0,2.58,1.44,1.21,0,0.08,0,6.36,1.14,0.3,78.9,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,0,0,0,0.34,0.69,0.34,5.52,0.69,0.69,0,0,0,5.86,0,1.03,0,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,0.1,0,0,0.5,0.69,0.2,1.98,0.59,0.59,0,0,0,2.28,0.3,0.79,27.3,Matches
