Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,329,310,16,0,2,0,31,12,3,0,3,0,210,3,13,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,767,717,49,28,2,0,7,0,0,0,0,0,639,1,5,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,11,11,0,0,0,0,1,0,0,0,0,0,9,0,1,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,280,266,11,0,1,2,24,1,7,1,1,0,206,3,14,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,441,349,91,7,0,1,18,84,0,0,0,0,330,1,16,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,303,299,3,0,3,0,41,2,1,0,0,0,195,1,12,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,1544,1450,94,43,1,18,5,8,0,0,0,0,1354,0,8,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,1442,1406,32,25,4,19,20,7,0,0,0,0,1164,4,36,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,1020,841,178,30,0,2,0,0,0,0,0,0,848,1,0,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,673,507,165,21,0,2,11,144,0,0,0,0,525,1,11,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,716,616,93,16,9,2,92,59,17,10,4,0,488,7,27,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,2604,2516,84,67,4,7,2,7,0,0,0,0,2434,4,6,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,310,281,28,0,1,5,12,1,0,0,0,0,223,1,10,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,30,28,2,0,0,1,0,0,0,0,0,0,23,0,1,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,438,391,44,2,1,2,76,6,30,21,6,0,318,3,23,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,1302,1093,201,70,8,23,163,16,71,27,36,3,981,8,25,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,1773,1650,111,79,27,14,59,18,12,2,7,0,1449,12,28,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,336,320,14,9,0,3,1,2,0,0,0,0,282,2,4,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,66,61,5,0,0,0,4,2,0,0,0,0,49,0,4,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,835,711,120,29,0,6,23,90,0,0,0,0,670,4,14,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,660,635,19,10,8,1,8,8,0,0,0,0,573,6,13,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,566,523,37,14,2,8,42,0,23,11,10,0,446,6,10,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,192,176,13,0,0,1,5,1,0,0,0,0,121,3,6,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,133,88,45,25,0,0,0,0,0,0,0,0,68,0,0,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,200,189,11,1,1,0,12,10,0,0,0,0,166,0,5,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,128,123,4,0,0,4,14,1,0,0,0,0,85,1,3,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,918,809,105,17,0,4,32,88,0,0,0,0,694,4,8,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,1052,620,426,122,0,1,0,1,0,0,0,0,470,6,0,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,49,49,0,0,0,0,4,0,0,0,0,0,34,0,1,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,967,936,28,26,0,6,0,2,0,0,0,0,856,3,5,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,107,85,21,0,0,0,1,0,0,0,0,0,76,1,6,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,633,602,29,27,1,6,0,2,0,0,0,0,497,2,1,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,53,49,4,0,0,0,8,4,0,0,0,0,33,0,5,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,400,375,23,0,1,3,18,7,1,0,1,0,284,2,19,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,428,386,41,1,0,1,7,1,0,0,0,0,296,1,15,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,445,409,35,0,2,8,22,12,23,11,1,0,363,1,17,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,907,844,59,29,3,5,4,28,0,0,0,0,775,4,9,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,599,527,69,20,4,2,114,11,35,20,9,0,383,3,27,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,4,75,69,6,0,0,1,2,2,0,0,0,0,59,0,0,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,491,403,84,9,0,0,24,75,0,0,0,0,365,4,12,Matches
184,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,951,934,15,12,4,10,1,1,0,0,0,0,812,2,7,Matches
185,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
186,Karl Etta,cm CMR,"MF,FW",Villarreal,20,2003,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Edu Expósito,es ESP,MF,Espanyol,27,1996,11.6,485,407,73,38,13,5,66,1,33,9,19,1,318,5,8,Matches
188,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,22,2001,22,757,732,23,6,2,4,49,15,1,0,0,0,542,2,27,Matches
189,Ansu Fati,es ESP,FW,Barcelona,21,2002,2.6,125,119,4,3,2,0,0,0,1,0,0,0,104,2,3,Matches
190,Nabil Fekir,fr FRA,MF,Betis,31,1993,2,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4,Matches
191,Kiko Femenía,es ESP,DF,Villarreal,33,1991,24.7,1506,1250,254,50,1,8,47,203,0,0,0,0,1339,2,14,Matches
