Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,44.6,36.9,7.49,0.7,0.06,0.06,3.39,6.76,0.03,0,0,0,34.4,0.18,1.19,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,46.6,45.5,1.01,0.97,0.08,0.42,0.13,0.04,0,0,0,0,39.9,0.08,0.88,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,90,90,0,0,0,0,0,0,0,0,0,0,80,0,10,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,55,43.8,11,1.47,0.03,0.43,1.25,9.57,0,0,0,0,44.3,0.15,1.13,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,48.6,40.5,7.99,0.16,0.11,0.22,2.23,7.77,0.05,0,0,0,37,0.16,1.63,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,68.1,60.1,7.79,1.03,0,0,2.06,6.76,0,0,0,0,58.7,0.15,1.32,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,73.1,70.9,1.85,1.85,0,0.74,0.37,0,0,0,0,0,63.5,0.37,1.48,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,76.4,74.3,2.07,1.9,0.22,0.39,0.5,0.17,0,0,0,0,68.2,0,0.95,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,44.5,41,3.27,2.92,0.03,0.53,0.06,0.06,0,0,0,0,37.3,0.2,0.2,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,14,13,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,100.8,96.7,3.85,2.22,0.3,0.52,1.04,1.04,0.52,0.3,0.15,0,95.1,0.22,0.96,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,44,36,8,1.33,0.67,0,2,6,0.67,0.33,0.33,0,30.3,0,2.33,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,41.4,26.4,15,3.57,0.71,0.71,2.14,11.4,0,0,0,0,25,0,1.43,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,54.4,44.6,9.69,0.52,0,0.31,2.75,9.16,0,0,0,0,43.3,0.14,1.36,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,14.5,13.2,1.27,0,0,0,0.28,0,0,0,0,0,10.3,0,0.42,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,42.1,39.4,2.65,0.88,0,0.29,0.88,1.76,0,0,0,0,33.2,0,0.29,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,21.3,15.6,5.63,1.88,0.63,0,5.63,1.25,2.5,0.63,1.88,0,13.8,0,0.63,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,78.6,77.9,0.71,0.71,0,0,0,0,0,0,0,0,72.1,0,0.71,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,38.7,28.1,10.5,3.59,0,0,0,0,0,0,0,0,26.4,0.12,0,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,49.5,47.8,1.39,0.84,0.21,0.34,0.17,0.17,0,0,0,0,42,0.38,0.59,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,42.4,41.1,1.14,0.48,0.07,0.37,0.37,0.3,0.11,0.04,0,0,35.9,0.15,0.48,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,52.8,50.6,1.11,1.11,0,0,0,0,0,0,0,0,41.7,1.11,1.11,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,46.4,43.2,3.08,2.53,0,0.66,0,0.1,0,0,0,0,40.7,0.1,0.3,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,48.4,47.2,0.92,0.77,0.25,0.35,0.49,0.07,0,0,0,0,41,0.28,0.77,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,29.4,22.9,6.38,1.47,0,0,0,0,0,0,0,0,23.8,0.05,0,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,35,33,1.7,0,0.21,0,3.3,1.28,0.32,0,0.32,0,22.3,0.32,1.38,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,45.1,42.2,2.88,1.65,0.12,0,0.41,0,0,0,0,0,37.6,0.06,0.29,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,55,55,0,0,0,0,5,0,0,0,0,0,45,0,5,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,31.5,29.9,1.24,0,0.11,0.22,2.7,0.11,0.79,0.11,0.11,0,23.1,0.34,1.57,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,51.9,41.1,10.7,0.82,0,0.12,2.12,9.88,0,0,0,0,38.8,0.12,1.88,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,27.1,26.7,0.27,0,0.27,0,3.66,0.18,0.09,0,0,0,17.4,0.09,1.07,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,53.8,50.5,3.28,1.5,0.03,0.63,0.17,0.28,0,0,0,0,47.2,0,0.28,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,49,47.8,1.09,0.85,0.14,0.65,0.68,0.24,0,0,0,0,39.6,0.14,1.22,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,34,28,5.93,1,0,0.07,0,0,0,0,0,0,28.3,0.03,0,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,40.5,30.5,9.94,1.27,0,0.12,0.66,8.67,0,0,0,0,31.6,0.06,0.66,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,28.5,24.5,3.71,0.64,0.36,0.08,3.67,2.35,0.68,0.4,0.16,0,19.4,0.28,1.08,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,89.5,86.5,2.89,2.3,0.14,0.24,0.07,0.24,0,0,0,0,83.6,0.14,0.21,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,24.4,22.1,2.2,0,0.08,0.39,0.94,0.08,0,0,0,0,17.6,0.08,0.79,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,13.6,12.7,0.91,0,0,0.45,0,0,0,0,0,0,10.5,0,0.45,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,29.6,26.4,2.97,0.14,0.07,0.14,5.14,0.41,2.03,1.42,0.41,0,21.5,0.2,1.55,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,42.7,35.8,6.59,2.3,0.26,0.75,5.34,0.52,2.33,0.89,1.18,0.1,32.2,0.26,0.82,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,75.8,70.5,4.74,3.38,1.15,0.6,2.52,0.77,0.51,0.09,0.3,0,61.9,0.51,1.2,Matches
