Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,8.1,13.1,62,114.2,21.2,4.57,6.67,68.6,2.71,4.5,60.3,0.35,0.74,47.4,0.16,0.11,0.08,0.04,0.89,0.54,0.47,0.04,1.05,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,40.6,49.9,81.3,827.1,282.1,13.5,14.5,93.2,21.2,23.4,90.3,5.41,10.7,50.6,0.04,0.01,0.01,0.03,0.17,2.75,0.21,0.04,2.92,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,2,4,50,53,0,1,1,100,0,0,,1,3,33.3,0,0,0,0,0,0,0,0,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,24.5,36.8,66.6,722.5,539.3,3.78,3.81,99.2,12.4,12.6,98.5,8.28,20.2,41.1,0,0,0,0,0.03,0.78,0.03,0,0.06,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,23,27,85.2,389.5,96,12,12.5,96,8.5,10,85,2,3.5,57.1,0,0,0,0,0,1.5,0.5,0,3.5,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,18,28.2,63.9,305.5,66.8,9.46,11.9,79.5,6.94,10.9,63.6,1.35,2.97,45.5,0.09,0.18,0.15,-0.09,0.72,0.54,1.53,0.45,2.07,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,23.1,28.3,81.7,333.2,66.8,13.7,15.3,89.3,7.59,9.3,81.6,1.01,1.52,66.7,0.13,0.2,0.23,-0.08,1.14,1.33,0.7,0,2.85,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,50,50,100,1080,220,10,10,100,20,20,100,20,20,100,0,0,0,0,0,0,0,0,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,21.3,30,70.8,280,92.5,16.3,17.5,92.9,5,6.25,80,0,3.75,0,0,0,0,0,0,1.25,0,0,1.25,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,42.2,51.3,82.3,651.1,249.1,21.9,23.9,91.5,18.3,22.5,81.3,1.56,3.28,47.6,0.31,0.31,0.33,0,1.25,2.5,0.63,0.31,3.75,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,48.3,56.1,86.1,775.8,168.6,25.9,28.4,91.1,17.2,19.6,88,4.06,5.14,78.9,0.29,0.14,0.16,0.15,1.52,4.71,1.12,0,7.21,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,48.8,55.1,88.6,866,240.7,20.2,21.9,92.2,23.6,25.4,92.8,4.13,5.54,74.5,0.04,0.07,0.07,-0.03,0.56,4.91,0.52,0.04,5.65,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,29.8,43,69.4,569.3,172.4,12.8,15.4,83.1,11.9,15.4,77.1,4.63,9.44,49,0.19,0.11,0.11,0.07,0.56,4.26,0.74,0,4.81,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,22.5,32.5,69.2,320,17.5,10,15,66.7,7.5,10,75,2.5,5,50,0,0,0,0,2.5,0,0,0,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,51.7,61.6,84,922.6,335.3,23.2,25.6,90.4,23.3,27.2,85.9,4.67,7,66.7,0.09,0.1,0.1,-0.01,0.79,5.68,0.66,0.35,7.09,Matches
