Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,1.19,0.75,0.3,0.6,0.3,0.9,2.39,37.5,1.49,0.75,0.15,0.6,0.6,1.79,1.49,0,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,2.67,1.33,0.67,2,0,0,0.67,0,0.67,0,0,0,0,2.67,0,0,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,2.17,1.47,1.35,0.61,0.21,1.5,2.42,62,0.92,1.59,0.21,1.38,1.22,3.39,3.73,0.03,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,2.31,1.3,0.5,1.47,0.34,0.84,2.18,38.5,1.34,1.13,0.5,0.63,2.02,4.33,2.69,0.04,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,2.54,1.8,1.62,0.64,0.28,1.25,2.35,53.2,1.1,1.13,0.34,0.8,2.08,4.62,2.81,0.09,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,1.52,0.87,0.87,0.33,0.33,0.76,1.41,53.8,0.65,1.09,0.11,0.98,0.92,2.45,2.01,0,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,1.76,1.18,1.03,0.44,0.29,1.32,1.76,75,0.44,1.18,0.44,0.74,1.47,3.24,2.79,0.15,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,1.67,1.11,0.56,1.11,0,0.74,1.11,66.7,0.37,1.11,0.37,0.74,0.56,2.22,1.11,0,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,2.46,1.4,0.39,1.68,0.39,1.12,2.29,48.8,1.17,1.12,0.28,0.84,1.23,3.69,1.23,0.06,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,1.35,0.82,0.99,0.29,0.06,0.79,1.29,61.4,0.5,1.17,0.73,0.44,1.02,2.37,6.46,0.06,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,1,1,1,0,0,1,1,100,0,2,1,1,1,2,4,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,3.04,1.56,1.26,1.33,0.44,1.48,2.96,50,1.48,1.19,0.3,0.89,1.04,4.07,0.74,0.15,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,2.67,1,0.67,2,0,1,2.67,37.5,1.67,1.33,0,1.33,2.67,5.33,2.33,0,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,2.86,0.71,2.14,0.71,0,1.43,2.86,50,1.43,0.71,0,0.71,1.43,4.29,1.43,0,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,1.6,1.25,1.05,0.49,0.07,0.98,1.57,62.2,0.59,1.22,0.31,0.91,1.05,2.65,3.76,0.03,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,0.7,0,0.14,0.14,0.42,0,0.14,0,0.14,0.56,0,0.56,0.14,0.85,0.85,0,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,3.24,2.06,0.88,1.76,0.59,1.47,2.35,62.5,0.88,0.59,0,0.59,1.18,4.41,2.94,0,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,0.63,0,0,0.63,0,0,4.38,0,4.38,1.88,0,1.88,1.25,1.88,0,0,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,2.14,1.43,1.43,0.36,0.36,1.43,1.43,100,0,0.71,0,0.71,1.43,3.57,3.21,0,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,0.04,0,0.04,0,0,0.04,0.15,25,0.12,0,0,0,0,0.04,0.42,0.08,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,2.06,1.01,1.09,0.92,0.04,0.84,1.72,48.8,0.88,1.3,0.42,0.88,1.68,3.74,2.56,0.13,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,2.18,1.37,0.66,1,0.52,0.85,1.85,46,1,0.92,0.04,0.89,0.44,2.62,1.66,0.04,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,4.44,3.89,2.22,1.67,0.56,2.22,3.33,66.7,1.11,0.56,0,0.56,1.11,5.56,3.33,0,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,1.21,0.71,0.76,0.45,0,0.61,1.06,57.1,0.45,1.41,0.76,0.66,1.21,2.42,3.79,0.1,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,2.99,1.73,1.55,1.13,0.32,1.48,2.68,55.3,1.2,1.97,0.77,1.2,0.67,3.66,1.97,0.04,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,0.09,0.09,0.09,0,0,0.09,0.18,50,0.09,0,0,0,0.05,0.14,0.41,0.09,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,1.6,1.28,0.64,0.74,0.21,0.96,2.87,33.3,1.91,1.49,0.21,1.28,0.64,2.23,1.06,0,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,1.71,1,1.06,0.59,0.06,0.65,0.71,91.7,0.06,1.41,0.94,0.47,1,2.71,7.24,0.12,Matches
