Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,11,0,0,36,14,1,2,35,28,1,1,0,108,67,35,65.7,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,0,0,0,3,0,0,0,1,1,0,1,0,1,2,5,28.6,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,4,0,0,13,30,0,14,14,21,0,0,0,87,2,1,66.7,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,1,0,0,4,1,0,6,8,3,0,0,0,12,4,6,40,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,0,0,0,3,0,0,3,2,1,0,0,0,2,0,0,,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,3,0,0,31,25,3,79,30,36,0,1,0,114,23,30,43.4,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,3,0,0,30,27,11,2,1,0,1,0,0,19,15,25,37.5,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,0,0,0,1,3,0,3,4,7,0,0,0,12,1,10,9.1,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,2,0,0,6,8,0,9,2,0,0,0,0,10,0,5,0,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,3,0,0,5,0,0,0,4,4,0,0,0,14,11,3,78.6,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,1,0,0,0,5,0,0,0,0,0,0,0,20,2,2,50,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,12,0,0,45,25,0,4,40,24,0,2,0,148,48,30,61.5,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,3,1,0,39,25,2,10,12,37,1,1,0,154,25,38,39.7,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,0,0,0,5,0,0,0,2,7,0,0,0,4,6,3,66.7,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,6,0,0,18,16,0,0,24,14,0,0,0,51,18,22,45,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,7,0,0,37,27,1,14,19,49,0,0,0,160,32,49,39.5,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,2,0,0,0,1,0,0,1,2,0,0,0,30,1,0,100,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,8,0,0,28,11,5,31,6,12,0,0,0,45,23,20,53.5,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,6,0,0,27,13,0,7,17,17,0,0,0,46,27,16,62.8,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,3,1,0,18,11,4,24,4,3,0,0,0,40,1,8,11.1,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,1,0,0,15,14,0,18,4,18,0,0,0,38,4,8,33.3,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,4,0,0,10,10,0,41,8,13,0,0,0,35,19,19,50,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,3,0,0,19,3,2,5,21,21,1,2,0,104,46,37,55.4,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,10,1,1,62,63,2,20,32,44,0,0,0,129,68,40,63,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,1,0,0,0,2,0,0,1,0,0,0,1,45,8,0,100,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,4,0,0,16,2,2,11,9,14,0,1,0,46,9,10,47.4,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,2,0,0,14,23,7,92,13,19,0,0,0,109,15,19,44.1,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,3,0,0,24,9,0,2,16,23,0,1,0,102,62,44,58.5,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,0,0,0,10,9,5,12,7,10,1,0,0,28,29,35,45.3,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,2,0,0,16,16,14,76,2,6,0,1,0,40,1,3,25,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,4,0,0,21,37,3,163,16,26,0,0,0,122,13,10,56.5,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,7,0,0,19,49,0,59,6,26,0,0,0,128,4,7,36.4,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,0,0,0,2,4,0,1,11,3,0,0,0,23,18,5,78.3,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,0,0,0,4,4,2,4,0,3,0,0,0,12,8,6,57.1,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,6,0,0,28,24,1,23,21,24,1,1,0,76,31,29,51.7,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,0,0,0,14,34,1,8,4,19,0,0,0,54,3,14,17.6,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,100,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,2,0,0,7,6,0,42,7,15,0,0,0,80,5,8,38.5,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,2,0,0,22,23,7,5,2,1,1,0,0,25,43,83,34.1,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,1,0,0,8,16,2,12,8,9,0,0,0,41,3,12,20,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,2,0,0,19,14,5,14,1,5,0,0,0,28,10,19,34.5,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,10,1,0,40,26,1,32,21,13,0,0,0,102,43,30,58.9,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,0,0,0,1,6,0,0,0,1,0,1,0,37,13,0,100,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,0,0,0,5,1,0,4,0,4,0,0,0,8,8,7,53.3,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,1,0,0,8,10,0,0,13,11,0,0,1,45,28,15,65.1,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,2,0,0,10,27,9,1,3,4,0,0,0,15,14,23,37.8,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,4,2,1,24,13,0,0,18,15,0,2,0,63,28,18,60.9,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,1,0,0,5,13,0,8,1,4,0,0,0,11,2,5,28.6,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,3,0,0,32,18,7,18,8,9,0,0,0,46,13,32,28.9,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,5,0,0,38,50,7,7,10,8,2,1,1,46,59,101,36.9,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,0,0,0,6,16,4,22,5,13,0,0,0,63,4,9,30.8,Matches
