Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
522,Thiago Ojeda,ar ARG,MF,Villarreal,21,2003,1,8,8,0.2,0.1,0,,0,10,8,30,1,0,0,0,0,-0.53,3,0,3,3.39,2.86,Matches
523,Aingeru Olabarrieta,es ESP,FW,Athletic Club,18,2005,1,54,54,1.6,0.6,1.67,54,0,0,,3.33,3,0,0,0,0,-0.67,0.33,0.5,-0.33,-0.32,-0.73,Matches
524,Olasagasti,es ESP,MF,Real Sociedad,23,2000,22,857,39,25.1,9.5,0.74,66,0,1.58,26,1.68,1.41,1.26,0.84,0.42,0.42,0.95,0.98,1.02,-0.03,-0.04,0,Matches
525,Brian Oliván,es ESP,DF,Espanyol,30,1994,17,"1,017",60,29.7,11.3,1.06,75,0.62,0.44,23,0.71,1,1.06,1.42,-0.35,-0.35,-0.09,0.84,1.26,-0.42,-0.41,0.14,Matches
526,Lucas Oliveira Rosa,br BRA,DF,Valladolid,24,2000,21,"1,890",90,55.3,21,1,90,1,0,,0,0.57,0.57,2.14,-1.57,-1.57,0.25,0.8,1.83,-1.03,-1.03,-0.36,Matches
527,Alexis Olmedo,es ESP,DF,Barcelona,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
528,Dani Olmo,es ESP,"MF,FW",Barcelona,26,1998,25,"1,212",48,35.4,13.5,0.96,66,0,0.89,30,0.15,2.28,2.96,0.74,2.22,2.23,0.88,2.7,1.21,1.49,1.49,0.29,Matches
529,Aimar Oroz,es ESP,MF,Osasuna,22,2001,37,"2,966",80,86.7,33,1.06,83,0.48,0.06,29,0,1.41,1.42,1.21,0.21,0.21,2.39,1.21,1.34,-0.12,-0.12,0.98,Matches
530,Ángel Ortíz,es ESP,DF,Betis,20,2004,5,353,71,10.3,3.9,1.03,86,0.77,0.26,9,0.51,1.4,2.05,1.54,0.51,0.51,0.36,1.28,1.49,-0.21,-0.2,-0.34,Matches
531,Eneko Ortiz,es ESP,MF,Alavés,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
532,Pedro Ortiz,es ESP,MF,Sevilla,23,2000,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
533,Asier Osambela,es ESP,MF,Osasuna,20,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
534,Gabriel Osei Misehouy,nl NED,"FW,MF",Girona,19,2005,9,257,29,7.5,2.9,0.34,90,0.34,2.76,21,6.55,0.56,0.69,1.03,-0.34,-0.35,0.08,1.55,1.24,0.31,0.31,0.56,Matches
535,David Otorbi,es ESP,MF,Valencia,16,2007,1,14,14,0.4,0.2,0,,0,5,14,5,0,0,0,0,0,0.26,0,1.5,-1.5,-2,-1.78,Matches
536,Jesús Owono,gq EQG,GK,Alavés,23,2001,6,487,81,14.2,5.4,0.93,90,0.93,0.19,37,4.81,0.83,0.93,1.3,-0.37,-0.37,-0.12,1,0.81,0.19,0.18,0.34,Matches
537,Mikel Oyarzabal,es ESP,FW,Real Sociedad,27,1997,35,"2,250",64,65.8,25,1.12,74,0.32,0.28,26,0.08,1.29,0.96,1.04,-0.08,-0.08,0.61,1.19,0.96,0.23,0.23,0.79,Matches
538,Cenk Özkacar,tr TUR,DF,Valladolid,23,2000,11,757,69,22.1,8.4,0.95,80,0.83,0.36,38,2.02,0.09,0.48,1.9,-1.43,-1.43,0.33,1,1.38,-0.38,-0.38,0.62,Matches
539,Cenk Özkacar,tr TUR,DF,Valencia,23,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
540,Fernando Pacheco,es ESP,GK,Espanyol,32,1992,0,,,,,0,,0,0,,30,,,,,,,,,,,,Matches
541,Jon Pacheco,es ESP,DF,Real Sociedad,23,2001,14,854,61,25,9.5,0.95,80,0.74,0.53,27,1.58,0.86,0.42,1.37,-0.95,-0.95,-0.88,0.74,1.37,-0.64,-0.64,-0.8,Matches
542,Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,321,64,9.4,3.6,0.83,90,0.83,0.56,26,2.22,1,1.11,1.67,-0.56,-0.56,-1.34,1.33,1.56,-0.22,-0.21,-0.68,Matches
543,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,29,1994,35,"2,162",62,63.2,24,1.04,78,0.42,0.42,21,0,1.43,1.08,1.13,-0.04,-0.04,0.17,1.22,1.24,-0.02,-0.02,0.2,Matches
544,Joaquín Panichelli,ar ARG,FW,Alavés,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
545,Aitor Paredes,es ESP,DF,Athletic Club,24,2000,23,"1,812",79,53,20.1,1.04,85,0.8,0.1,15,0.55,1.57,1.59,1,0.6,0.6,-0.13,1.35,1.11,0.24,0.24,-0.34,Matches
546,Daniel Parejo,es ESP,MF,Villarreal,35,1989,36,"2,273",63,66.5,25.3,1.03,78,0.43,0.4,26,0,1.89,2.13,1.42,0.71,0.71,0.56,1.76,1.16,0.6,0.6,0.2,Matches
