Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,42,26,23,16,3,19,33,57.6,14,24,8,16,18,60,23,0,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,9,3,2,5,2,4,6,66.7,2,8,1,7,4,13,16,0,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,21,16,8,11,2,11,20,55,9,9,1,8,19,40,19,2,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,3,2,0,1,2,1,1,100,0,3,0,3,2,5,2,0,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,9,6,6,2,1,4,11,36.4,7,11,6,5,6,15,33,0,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,11,7,3,4,4,4,10,40,6,6,1,5,5,16,5,0,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,8,5,2,4,2,6,16,37.5,10,5,1,4,4,12,10,0,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,4,2,1,3,0,0,1,0,1,0,0,0,0,4,0,0,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,71,48,44,20,7,49,79,62,30,52,7,45,40,111,122,1,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,55,31,12,35,8,20,52,38.5,32,27,12,15,48,103,64,1,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,83,59,53,21,9,41,77,53.2,36,37,11,26,68,151,92,3,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,28,16,16,6,6,14,26,53.8,12,20,2,18,17,45,37,0,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,12,8,7,3,2,9,12,75,3,8,3,5,10,22,19,1,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,9,6,3,6,0,4,6,66.7,2,6,2,4,3,12,6,0,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,46,28,34,10,2,27,44,61.4,17,40,25,15,35,81,221,2,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,1,1,1,0,0,1,1,100,0,2,1,1,1,2,4,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,41,21,17,18,6,20,40,50,20,16,4,12,14,55,10,2,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,8,3,2,6,0,3,8,37.5,5,4,0,4,8,16,7,0,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,4,1,3,1,0,2,4,50,2,1,0,1,2,6,2,0,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,46,36,30,14,2,28,45,62.2,17,35,9,26,30,76,108,1,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,5,0,1,1,3,0,1,0,1,4,0,4,1,6,6,0,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,11,7,3,6,2,5,8,62.5,3,2,0,2,4,15,10,0,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,1,0,0,1,0,0,7,0,7,3,0,3,2,3,0,0,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,6,4,4,1,1,4,4,100,0,2,0,2,4,10,9,0,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,1,0,1,0,0,1,4,25,3,0,0,0,0,1,11,2,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,49,24,26,22,1,20,41,48.8,21,31,10,21,40,89,61,3,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,59,37,18,27,14,23,50,46,27,25,1,24,12,71,45,1,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,8,7,4,3,1,4,6,66.7,2,1,0,1,2,10,6,0,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,24,14,15,9,0,12,21,57.1,9,28,15,13,24,48,75,2,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,85,49,44,32,9,42,76,55.3,34,56,22,34,19,104,56,1,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,2,2,2,0,0,2,4,50,2,0,0,0,1,3,9,2,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,15,12,6,7,2,9,27,33.3,18,14,2,12,6,21,10,0,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,29,17,18,10,1,11,12,91.7,1,24,16,8,17,46,123,2,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,9,3,4,1,4,5,15,33.3,10,10,0,10,4,13,8,0,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,27,18,19,5,3,13,23,56.5,10,10,1,9,4,31,18,0,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,29,13,9,16,4,13,26,50,13,24,0,24,8,37,10,0,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,38,21,25,12,1,24,29,82.8,5,25,14,11,21,59,115,2,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,90,44,45,42,3,35,79,44.3,44,48,15,33,32,122,85,1,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,1,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,26,14,11,13,2,15,24,62.5,9,15,4,11,9,35,68,0,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,32,19,14,16,2,17,35,48.6,18,18,2,16,13,45,31,0,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,34,23,21,10,3,19,30,63.3,11,12,9,3,16,50,86,1,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,15,10,2,5,8,6,11,54.5,5,13,1,12,7,22,4,0,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,2,1,0,1,1,0,1,0,1,1,0,1,0,2,0,0,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,8,6,3,3,2,2,7,28.6,5,5,1,4,2,10,4,0,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,40,26,15,16,9,17,46,37,29,19,1,18,16,56,23,1,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,33,26,12,16,5,14,33,42.4,19,25,2,23,6,39,15,3,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,8,3,8,0,0,4,6,66.7,2,8,6,2,11,19,56,0,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,5,3,1,3,1,4,9,44.4,5,3,0,3,0,5,3,0,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,40,24,19,18,3,17,29,58.6,12,15,5,10,21,61,46,1,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,25,19,9,13,3,7,19,36.8,12,16,1,15,4,29,2,1,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,23,15,7,14,2,14,41,34.1,27,16,0,16,7,30,7,1,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,1,1,0,0,1,1,7,14.3,6,4,1,3,2,3,11,0,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,14,9,1,8,5,5,15,33.3,10,8,0,8,8,22,6,0,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,8,5,3,2,3,1,3,33.3,2,4,0,4,1,9,4,0,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,25,13,12,11,2,12,32,37.5,20,18,8,10,21,46,107,3,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,1,1,1,0,0,1,2,50,1,0,0,0,0,1,27,3,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,4,4,2,1,1,2,5,40,3,2,0,2,0,4,2,0,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,23,11,14,9,0,15,21,71.4,6,16,11,5,13,36,80,1,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,9,4,2,6,1,3,6,50,3,5,2,3,3,12,6,0,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,28,15,22,4,2,17,21,81,4,28,16,12,18,46,152,1,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,8,4,3,3,2,3,5,60,2,4,0,4,1,9,2,0,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,17,9,4,7,6,5,16,31.3,11,12,3,9,8,25,18,0,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,13,8,4,7,2,5,13,38.5,8,11,2,9,10,23,11,0,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,19,13,8,9,2,9,20,45,11,12,0,12,5,24,8,0,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,20,11,15,3,2,11,19,57.9,8,17,12,5,11,31,96,0,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,41,20,17,17,7,18,47,38.3,29,18,1,17,13,54,14,2,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,4,1,1,1,0,0,1,3,33.3,2,0,0,0,4,5,1,0,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,41,24,31,8,2,26,47,55.3,21,19,6,13,12,53,32,1,Matches
184,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,59,45,28,26,5,28,46,60.9,18,28,11,17,42,101,47,7,Matches
185,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Matches
186,Karl Etta,cm CMR,"MF,FW",Villarreal,20,2003,0.4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,Matches
