Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
504,Youssouf Sabaly,sn SEN,DF,Betis,31,1993,17.6,862,994,86.7,11913,4253,530,562,94.3,284,334,85,23,47,48.9,1,0.8,0.9,0.2,11,49,7,5,62,Matches
505,Umar Sadiq,ng NGA,FW,Valencia,27,1997,9.2,125,173,72.3,1721,228,79,103,76.7,38,48,79.2,3,5,60,0,0.7,0.4,-0.7,6,4,0,0,7,Matches
506,Umar Sadiq,ng NGA,FW,Real Sociedad,27,1997,2.5,25,48,52.1,349,77,17,28,60.7,6,10,60,1,2,50,0,0.2,0.1,-0.2,1,2,0,0,5,Matches
507,Jorge Sáenz,es ESP,DF,Leganés,27,1996,18.8,752,898,83.7,14899,5767,258,272,94.9,413,446,92.6,76,164,46.3,0,0.1,0.3,-0.1,2,35,1,0,36,Matches
508,Jan Salas,es ESP,"MF,FW",Mallorca,18,2005,0.5,20,26,76.9,275,70,10,11,90.9,9,11,81.8,0,0,,0,0,0.1,0,0,4,1,0,4,Matches
509,Kike Salas,es ESP,DF,Sevilla,22,2002,24.9,1109,1412,78.5,21141,7603,419,465,90.1,579,670,86.4,105,251,41.8,2,0.6,0.9,1.4,6,69,3,1,59,Matches
510,Albert Sambi Lokonga,be BEL,MF,Sevilla,24,1999,16.3,799,894,89.4,13113,3894,414,440,94.1,313,342,91.5,57,85,67.1,2,1,0.9,1,19,81,8,0,93,Matches
511,Chuky san jose,es ESP,MF,Valladolid,20,2004,8.1,112,163,68.7,1897,530,59,72,81.9,35,48,72.9,15,29,51.7,0,1.2,1.5,-1.2,8,10,5,3,15,Matches
512,Oihan Sancet,es ESP,MF,Athletic Club,24,2000,18,461,569,81,6927,1632,269,310,86.8,157,187,84,23,36,63.9,1,1.9,1.5,-0.9,21,66,15,1,90,Matches
513,Antonio Sánchez,es ESP,"MF,DF",Mallorca,27,1997,15.5,391,537,72.8,6493,1870,196,231,84.8,141,185,76.2,37,75,49.3,0,0.6,1,-0.6,5,36,8,4,38,Matches
514,Iván Sánchez,es ESP,"MF,FW",Valladolid,31,1992,15.6,422,591,71.4,7754,2475,195,219,89,151,206,73.3,63,129,48.8,1,2.9,2.9,-1.9,24,52,23,15,77,Matches
515,Javi Sánchez,es ESP,DF,Valladolid,27,1997,22.5,1015,1163,87.3,20366,7564,316,332,95.2,582,612,95.1,112,196,57.1,0,0.3,0.4,-0.3,6,42,1,0,34,Matches
516,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,20,2003,19.1,568,697,81.5,8314,2421,333,371,89.8,221,258,85.7,9,27,33.3,4,2.8,1.7,1.2,24,51,14,5,68,Matches
517,Manu Sánchez,es ESP,DF,Alavés,23,2000,29.3,807,1117,72.2,12801,4914,422,488,86.5,328,424,77.4,42,125,33.6,0,1.2,1.3,-1.2,16,53,21,13,78,Matches
518,Maroan Sannadi,es ESP,FW,Athletic Club,23,2001,8.4,115,159,72.3,1558,325,70,82,85.4,30,42,71.4,6,12,50,1,0.6,0.7,0.4,7,13,8,0,15,Matches
519,Jesús Santiago,es ESP,MF,Getafe,20,2004,4.1,99,136,72.8,1514,475,57,72,79.2,34,43,79.1,5,14,35.7,0,0,0.2,0,0,10,0,0,16,Matches
520,Aleksandar Sedlar,rs SRB,DF,Alavés,32,1991,6.6,195,236,82.6,3966,1454,58,64,90.6,105,123,85.4,30,43,69.8,0,0,0,0,0,14,0,0,12,Matches
521,Sergi,es ESP,DF,Leganés,32,1992,32.9,1271,1518,83.7,25210,9824,395,426,92.7,710,767,92.6,156,290,53.8,0,0.4,0.5,-0.4,5,59,5,0,77,Matches
522,Nicolás Serrano,es ESP,FW,Athletic Club,21,2003,1.2,25,44,56.8,342,90,14,18,77.8,11,15,73.3,0,9,0,0,0,0.1,0,1,2,1,1,4,Matches
523,Fábio Silva,pt POR,FW,Las Palmas,22,2002,20.7,309,466,66.3,4149,710,181,250,72.4,83,125,66.4,16,29,55.2,3,2,1.8,1,16,13,14,3,26,Matches
